
79125,65851.85,29.65
80126,65851.85,29.65
81129,64744.53,30.05
82130,64744.53,30.05
83132,64202.90,30.24
84133,63669.07,30.44
85135,62112.67,31.01
86136,61608.39,31.21
87138,61111.11,31.40
88139,60620.69,31.58
89141,60136.98,31.77
90143,59659.86,31.96
91145,59659.86,31.96
92146,58724.83,32.33
93148,57814.57,32.70
94149,57368.42,32.89
95151,56928.10,33.07
96152,55641.03,33.61
97154,56064.51,33.43
98155,54402.51,34.15
99156,54402.51,34.15
100159,54000.00,34.33
101160,53602.48,34.51
102162,53209.87,34.68
103163,52822.08,34.86
104165,52439.02,35.03
105166,51317.37,35.55
106168,50591.71,35.90
107170,50591.71,35.90
108172,49883.04,36.24
109173,49534.88,36.41
110175,48850.57,36.75
111176,48514.28,36.91
112178,47853.10,37.25
113180,47206.70,37.58
114182,46888.89,37.75
115183,46574.58,37.91
116185,45956.28,38.24
117186,45351.35,38.56
118188,45351.35,38.56
119190,44759.36,38.89
120192,44179.89,39.21
121193,43612.57,39.53
122194,43333.33,39.69
123196,43057.00,39.85
124197,42512.82,40.16
125199,41979.69,40.48
126201,41457.28,40.79
127203,41457.28,40.79
128204,40945.27,41.10
129206,40443.35,41.41
130207,39951.22,41.71
131209,39708.74,41.87
132211,39468.60,42.02
133213,38995.21,42.32
134214,38530.80,42.62
135216,38075.12,42.93
136217,38075.12,42.93
137219,37627.91,43.22
138221,37188.94,43.52
139223,36757.99,43.82
140224,36126.12,44.26
141225,35714.28,44.55
142227,35511.11,44.70
143228,35110.13,44.99
144231,34521.74,45.42
145232,34137.93,45.71
146234,33948.50,45.85
147235,33389.83,46.28
148237,33025.21,46.57
149238,32666.67,46.85
150240,32314.05,47.13
151242,32314.05,47.13
152244,31795.92,47.55
153245,31457.49,47.83
154247,31124.50,48.11
155248,30960.00,48.25
156250,30634.92,48.52
157252,30314.96,48.80
158254,30000.00,49.07
159255,29689.92,49.34
160257,29384.62,49.62
161258,29083.97,49.89
162259,28935.36,50.02
163261,28641.51,50.29
164263,28208.96,50.70
165265,28066.91,50.83
166266,27785.98,51.10
167268,27509.16,51.37
168269,27236.36,51.63
169271,26967.51,51.90
170272,26571.43,52.29
171275,26441.28,52.43
172276,26183.75,52.69
173278,25929.83,52.95
174279,25679.44,53.21
175281,25310.35,53.60
176282,25189.00,53.73
177285,24948.81,53.99
178286,24594.59,54.38
179288,24362.42,54.64
180289,24247.49,54.77
181291,23795.38,55.28
182292,23684.21,55.41
183293,23464.05,55.66
184296,23355.05,55.79
185297,23139.16,56.04
186299,22926.05,56.30
187300,22611.47,56.68
188302,22405.06,56.93
189303,22201.26,57.18
190306,22000.00,57.44
191307,21801.24,57.69
192309,21702.79,57.81
193310,21507.69,58.06
194312,21314.99,58.31
195313,21124.62,58.56
196316,20936.56,58.81
197317,20843.37,58.94
198319,20658.68,59.19
199320,20476.19,59.43
200322,20385.76,59.56
201323,20206.49,59.81
202324,20117.65,59.93
203327,19941.52,60.18
204328,19854.23,60.30
205330,19595.38,60.67
206331,19425.29,60.92
207333,19257.14,61.16
208335,19090.91,61.41
209337,19008.50,61.53
210338,18845.07,61.77
211340,18683.47,62.02
212341,18523.68,62.26
213343,18444.45,62.39
214344,18287.29,62.63
215347,18131.87,62.87
216348,18054.80,63.00
217350,17901.91,63.24
218351,17750.68,63.48
219353,17675.68,63.60
220354,17526.88,63.85
221357,17379.68,64.09
222358,17234.04,64.33
223360,17234.04,64.33
224361,17018.47,64.70
225362,16876.64,64.94
226364,16806.28,65.06
227365,16666.67,65.30
